date_ymd,time_to_travel_grouping,length_of_stay_grouping,platform_country_code,adv_id,clicks,bookings,booking_rev_EURcent,cost_EURcent
20200729,0,1,PH,90,16,1,2545,102
20200826,0,8,TR,332,13,0,0,102
20201001,29,2,ES,56,7,0,0,47
20200905,2,7,PT,56,2,0,0,20
20201129,8,2,PT,64,37,0,0,658
20201103,8,3,YY,90,13,0,0,0
20200525,5,2,US,7,71,2,59642,5871
20200704,15,7,SK,402,2,0,0,8
20200904,8,2,MY,56,940,0,0,9776
20200609,5,8,XX,56,2,0,0,6
20200711,2,1,BG,64,40,0,0,55
20200701,2,3,ZZ,90,5,0,0,37
20200518,29,2,GR,402,2,0,0,5
20200729,29,2,PT,58,2,0,0,2
20200910,0,4,PL,90,4,0,0,15
20200526,8,1,UY,56,15,0,0,36
20200802,29,1,NL,56,42,0,0,271
20201229,2,13,MY,56,2,0,0,38
20200708,5,2,XX,64,4,1,12090,63
20200802,29,15,XX,345,11,0,0,165
20200622,15,1,NO,64,47,1,25770,1076
20200601,8,1,ID,56,60,0,0,284
20200817,301,7,ZZ,56,2,0,0,43
20200604,29,2,CH,402,3,0,0,25
20201129,0,2,IN,64,45,1,21503,1113
20200727,8,1,IL,58,59,0,0,48
20200612,2,7,XX,90,2,0,0,222
20201027,41,8,TW,56,2,0,0,51
20200930,0,7,NL,64,2,0,0,217
20201013,8,1,NL,345,5,0,0,15
20200925,5,3,SE,64,5,1,51149,677
20200609,5,2,NL,402,7,0,0,30
20200705,5,3,XX,402,27,0,0,794
20200503,2,3,US,151,5,0,0,130
20200601,15,1,CL,402,5,0,0,19
20200623,41,2,MY,56,370,0,0,1007
20201005,41,2,KR,64,22,1,31388,476
20201223,8,15,US,64,38,1,47739,5053
20201028,41,4,DK,345,3,0,0,130
20200402,8,13,IN,402,2,0,0,13
20200621,8,4,US,7,105,3,266719,11558
20201201,2,4,PH,56,2,0,0,38
20200827,5,8,XX,58,28,1,55636,610
20200414,41,1,VN,402,2,0,0,8
20201116,5,1,ZA,402,90,0,0,350
20200626,8,15,US,64,13,0,0,1648
20201030,15,1,AT,64,7,0,0,51
20201110,41,15,AR,64,21,0,0,236
20201102,2,4,US,64,109,5,259235,21146
20201106,15,13,AA,56,4,0,0,25
20200828,8,7,XX,58,185,1,82727,4657
20200828,29,4,NO,64,5,0,0,435
20201125,8,2,KR,90,7,0,0,0
20200717,8,3,IE,56,2,0,0,12
20200814,301,2,XX,64,7,0,0,56
20200829,5,1,AE,56,135,0,0,1909
20200430,301,1,US,56,2,0,0,12
20200928,5,3,PL,56,3,0,0,21
20200904,301,3,ES,345,2,0,0,26
20200513,41,7,GR,402,35,0,0,81
20201219,0,7,TR,139,5,1,3869,94
20201107,8,3,AE,64,2,0,0,55
20201108,2,2,IE,64,3,0,0,122
20201119,15,8,PE,64,2,0,0,50
20201006,41,7,ES,56,13,1,103478,438
20200710,8,1,HR,56,20,0,0,40
20200910,5,2,PH,56,12,1,4503,237
20200710,29,8,ZZ,64,4,0,0,283
20200925,0,2,AE,58,20,1,18138,887
20200725,2,2,PL,402,8,0,0,82
20200828,2,2,PH,56,8,0,0,172
20200913,2,1,SI,402,5,0,0,22
20200412,0,1,IE,56,2,0,0,2
20200703,41,15,PL,345,2,0,0,8
20200927,15,1,BG,64,8,0,0,17
20200831,29,7,GR,64,3,0,0,82
20200619,0,1,IE,56,2,0,0,13
20200731,29,2,US,90,2,0,0,76
20200615,2,1,IL,56,180,0,0,3475
20200706,8,3,CZ,402,12,0,0,47
20200423,15,1,GR,345,2,0,0,1
20200611,41,4,IN,56,7,0,0,19
20201125,15,1,AR,345,3,0,0,5
20200622,2,7,IN,56,2,0,0,5
20200527,15,4,SE,402,2,0,0,22
20200621,2,1,BE,402,19,1,5367,178
20200516,5,8,XX,345,2,0,0,6
20200809,2,8,PL,64,13,0,0,223
20201008,29,3,ES,64,8,0,0,222
20200427,8,4,ZZ,56,18,0,0,160
20201210,8,2,KR,90,3,0,0,0
20201001,29,1,PT,56,149,0,0,1011
20200804,0,2,ID,56,10,0,0,25
20200628,2,1,HR,64,17,0,0,28
20201202,2,4,AA,56,10,0,0,103
20200908,0,3,ZA,64,6,1,10553,157
20200709,29,13,XX,402,28,0,0,1156
20200918,29,7,TR,139,13,1,13272,67
20200403,15,1,YY,58,3,0,0,2
20200412,301,4,PE,402,2,0,0,8
20200727,2,8,SE,402,2,0,0,86
20201004,41,4,SE,58,27,1,85483,822
20201005,41,7,GR,56,2,0,0,19
20200728,5,2,TH,56,14,0,0,120
20200522,41,8,US,7,26,1,83700,1667
20200424,301,4,TR,402,2,0,0,6
20200601,2,2,TW,58,4,0,0,37
20200804,15,13,YY,56,2,0,0,57
20200531,15,1,IN,64,7,0,0,45
20200524,8,1,RO,64,3,0,0,2
20200730,29,3,RS,56,4,0,0,6
20200926,5,13,ES,64,4,0,0,154
20201014,15,4,ZZ,90,5,0,0,0
20200728,15,2,BG,58,2,0,0,8
20201126,41,15,AA,345,2,0,0,11
20200627,0,1,RO,58,5,0,0,11
20200524,2,2,NL,402,2,0,0,11
20200909,5,2,AA,56,8,0,0,52
20200728,29,15,SE,64,2,0,0,80
20200403,8,2,ZZ,56,24,0,0,189
20200621,8,8,YY,402,4,0,0,76
20200407,41,3,US,151,258,0,0,7072
20200407,41,1,CH,58,2,0,0,1
20200721,2,4,PT,64,8,0,0,35
20200807,301,2,MY,64,3,0,0,2
20200822,0,3,TR,402,14,0,0,33
20200825,41,1,PT,58,15,0,0,23
20200806,2,4,DK,345,2,0,0,21
20200703,41,4,NL,56,16,0,0,117
20201227,0,4,IN,64,32,1,16254,671
20200927,8,1,NL,345,10,0,0,32
20200709,2,3,TW,64,6,0,0,218
20201114,15,4,TR,332,41,0,0,171
20200720,5,2,NL,90,13,0,0,61
20201123,41,7,PH,56,6,0,0,93
20201128,29,4,AE,64,5,0,0,128
20200829,0,15,XX,56,2,0,0,48
20201222,8,13,XX,90,4,0,0,0
20200617,41,15,TR,402,2,0,0,6
20200730,8,1,HR,402,175,0,0,683
20200719,15,4,AE,345,2,0,0,6
20200914,0,15,HK,56,5,0,0,33
20200916,8,1,SK,64,3,0,0,25
20200904,5,2,SK,402,2,0,0,8
20200814,2,1,XX,56,162,0,0,2181
20201105,41,3,AR,56,55,2,34457,475
20200420,15,1,PL,64,5,0,0,4
20200731,5,1,HK,90,11,0,0,140
20200916,15,7,BE,58,5,0,0,138
20200505,5,1,IN,64,4,1,3218,3
20200831,2,1,TR,402,93,0,0,218
20200714,29,3,AA,402,8,0,0,33
20200930,8,4,AT,402,5,0,0,15
20200819,0,2,TR,64,990,10,106896,7363
20200901,29,8,NL,58,2,0,0,7
20200731,0,8,BE,58,2,0,0,16
20200703,301,7,CL,64,4,0,0,66
20200702,41,8,PT,345,14,0,0,67
20201011,5,1,BE,58,4,0,0,31
20200908,41,7,TR,56,22,0,0,97
20201214,301,4,XX,56,2,0,0,27
20200824,5,8,XX,402,18,0,0,213
20201202,2,3,TW,56,3,0,0,59
20201212,8,2,PH,56,35,2,23043,402
20200407,8,2,KR,64,19,1,16597,435
20201002,15,4,AA,56,7,0,0,31
20201122,15,7,CZ,64,10,0,0,75
20200829,41,2,TH,58,3,0,0,5
20201026,8,3,ES,90,30,0,0,0
20201108,15,1,AA,402,33,0,0,130
20200813,8,15,TR,139,7,0,0,35
20201119,15,4,NL,56,2,0,0,30
20201217,2,1,XX,58,80,0,0,2174
20200803,0,2,XX,56,87,0,0,333
20200426,41,8,ES,402,68,0,0,426
20200801,0,1,HK,90,75,6,37790,912
20200718,15,4,GR,402,198,5,255079,1224
20201007,8,1,CH,64,7,0,0,386
20201001,0,8,US,90,3,0,0,205
20200621,8,1,EC,56,10,0,0,27
20200725,8,2,AA,56,12,0,0,64
20200630,41,3,MY,64,3,0,0,44
20200809,15,4,NL,402,40,0,0,395
20200418,41,7,US,7,47,0,0,1225
20200801,29,4,NO,56,2,0,0,9
20201002,15,8,US,7,12,0,0,1741
20201123,15,1,YY,90,163,10,122845,6381
20200919,301,15,XX,345,15,0,0,384
20200822,0,1,UY,56,6,0,0,17
20201104,41,3,XX,64,120,1,24515,1967
20200902,29,7,PL,56,4,0,0,21
20201004,5,1,ES,58,12,0,0,50
20200828,41,7,AT,345,2,0,0,23
20200731,5,7,BE,345,4,0,0,22
20200912,15,2,SI,56,3,0,0,8
20200518,2,1,HK,64,30,2,13999,448
20200727,5,1,AA,58,6,0,0,11
20201112,8,8,US,7,7,0,0,648
20200817,2,1,XX,58,1417,60,682868,48161
20200722,15,2,NL,56,10,0,0,28
20200723,41,1,US,56,137,0,0,4101
20200626,301,13,NL,345,2,0,0,26
20201116,2,8,YY,90,3,0,0,0
20201227,41,4,IN,64,4,0,0,52
20200630,0,2,IL,402,2,0,0,8
20200501,0,1,MY,56,29,0,0,46
20200915,0,4,PH,56,5,0,0,28
20200907,8,7,US,64,81,3,311141,9322
20200804,2,13,TR,64,7,0,0,81
20201127,15,1,KR,64,31,0,0,450
20200709,0,3,IN,56,2,0,0,4
20201007,15,8,AA,58,3,0,0,103
20200916,29,1,PH,56,30,2,67718,583
20200901,2,1,ZA,64,35,0,0,127
20200407,0,3,US,151,5,0,0,104
20200830,15,1,YY,56,238,0,0,5910
20200829,8,2,AA,90,2,0,0,3
20200713,5,2,ES,56,15,0,0,62
